Closed fraction,Open fraction,Contrast,chi2,NDF,p0,,,p1,p2,p3,N,N*10^-7,error on Con,error on N,Error,Error on error
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.25,0.75,0.114754,731139,97,806+12,806,12,,1.580+0.016,7027+9,7027,0.0007027,0.00189358593316765,0.000005,0.00304195517037862,5.24775818163204E-05
0.3,0.7,0.1377,978295,96,841+14,841,14,3.13+0.01,1.59+0.03,6110+10,6110,0.000611,0.00255426662889296,0.000005,0.0034037256337725,6.61381052284659E-05
0.35,0.65,0.141894,931600,97,750+14,750,14,,1.567+0.018,5282+10,5282,0.0005282,0.00296979670235868,0.000005,0.00326109334457866,7.16591660008314E-05
0.4,0.6,0.119,531075,97,536+10,536,10,,1.58+0.02,4505+7,4505,0.0004505,0.00258330325964099,0.000005,0.00252577324793814,5.83036562767706E-05
0.45,0.55,0.0735,434441,97,278+9,278,9,,7.87+0.03,3780+7,3780,0.000378,0.00257045116286823,0.000005,0.00142900332399893,5.1731757012829E-05
0.475,0.525,0.0368485,331120,97,126+8,126,8,,14.17+0.07,3444+6,3444,0.0003444,0.0023999704194135,0.000005,0.000683835094415971,4.50885450279137E-05
0.5,0.5,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.525,0.475,0.0408554,,,116+7,116,7,,-7.83,2833+5,2833,0.0002833,0.00256869378612784,0.000005,0.000687658402700809,4.40785076229149E-05
0.55,0.45,0.084,302520,97,213+8,213,8,,-1.55,2531+6,2531,0.0002531,0.0035647252122928,0.000005,0.00133636581818004,5.97050068754725E-05
0.6,0.4,0.175,198082,97,350+6,350,6,,-1.589,1997.65+4.6,1998,0.0001998,0.00530838617176005,0.000005,0.00247363598777185,8.6868495068324E-05
0.65,0.35,0.258,177613,97,397=6,397,6,,-1.558,1538+4,1538,0.0001538,0.00924956946513194,0.000005,0.00319961610197223,0.000136265312945165
0.7,0.3,0.318,192460,97,360+6,360,6,,-1.56,1127+5,1127,0.0001127,0.0150709248022594,0.000005,0.00337589614769175,0.000191869549464044
0.75,0.25,0.348,82203.2,97,270+4,270,4,,-1.574,775.8+3,776,0.0000776,0.0230077454341305,0.000005,0.0030655620039399,0.000246141797986028
0.775,0.225,0.348929,64260,97,222+4,222,4,,-1.55,637+3,637,0.0000637,0.0281007883825908,0.000005,0.00278488189633092,0.000272383095368176
0.225,0.775,0.0991312,917180,97,744+14,744,14,,1.57,7510+10,7510,0.000751,0.00197868790572153,0.000005,0.00271662899654948,5.57125186742207E-05
